"id","Location","Status","Measure","length","LineLength","MeanLength"
13,"Cloates","No Take",1,32.49,35.3263985008088,33.6658566939273
13,"Cloates","No Take",2,20.87,22.6790507999744,33.6658566939273
13,"Cloates","No Take",3,35.59,38.5484498764041,33.6658566939273
13,"Cloates","No Take",4,42.96,46.7626667142506,33.6658566939273
13,"Cloates","No Take",5,23.1,25.0127175781984,33.6658566939273
1,"Cloates","No Take",1,64.7,70.4660709940442,67.9943286792302
1,"Cloates","No Take",2,61.81,67.1504994406537,67.9943286792302
1,"Cloates","No Take",3,54.37,58.9159080785919,67.9943286792302
1,"Cloates","No Take",4,54.73,59.5113411130822,67.9943286792302
3,"Cloates","No Take",1,41.48,45.1800631082967,62.0888836851862
3,"Cloates","No Take",2,61.24,66.3968855089394,62.0888836851862
3,"Cloates","No Take",3,74.22,80.518688388162,62.0888836851862
3,"Cloates","No Take",4,56.26,61.1324594172038,62.0888836851862
3,"Cloates","No Take",5,52.8,57.2163220033289,62.0888836851862
18,"Cloates","No Take",2,39.28,42.5779440817507,43.5084872126371
18,"Cloates","No Take",3,33.15,35.9846308075296,43.5084872126371
18,"Cloates","No Take",4,45.71,49.625065039524,43.5084872126371
18,"Cloates","No Take",5,43.83,47.5500342603708,43.5084872126371
15,"Cloates","No Take",3,54.97,59.5858727301157,63.9074263111202
15,"Cloates","No Take",4,67.76,73.584700908573,63.9074263111202
15,"Cloates","No Take",5,57.33,62.1492425355826,63.9074263111202
19,"Cloates","No Take",1,60.64,66.0607842552872,50.6921444467052
19,"Cloates","No Take",2,37,40.1328212686488,50.6921444467052
19,"Cloates","No Take",3,43.05,46.7083799189525,50.6921444467052
19,"Cloates","No Take",4,39.6,43.0578788495437,50.6921444467052
19,"Cloates","No Take",5,53.08,57.5008579410941,50.6921444467052
21,"Cloates","No Take",5,72.2,78.3480872190947,73.9114512616147
16,"Cloates","No Take",1,57.14,62.2497632874573,60.2286808094039
16,"Cloates","No Take",2,51.86,56.2220109832165,60.2286808094039
16,"Cloates","No Take",3,53.59,58.1200690175232,60.2286808094039
16,"Cloates","No Take",4,54.02,58.6132121590817,60.2286808094039
16,"Cloates","No Take",5,60.82,65.9383485997406,60.2286808094039
7,"Cloates","No Take",1,49.86,54.3039912553071,66.247460251965
7,"Cloates","No Take",2,68.15,73.8175745437011,66.247460251965
7,"Cloates","No Take",3,73.22,79.3695929693998,66.247460251965
4,"Cloates","No Take",4,54.89,59.5225888621981,59.5225888621981
7,"Cloates","No Take",5,53.1,57.4986822394517,66.247460251965
6,"Cloates","No Take",1,24.2,26.3504253716127,32.0001548394594
6,"Cloates","No Take",2,42.88,46.4299179210487,32.0001548394594
6,"Cloates","No Take",3,27.17,29.5626345873422,32.0001548394594
6,"Cloates","No Take",4,26.95,29.2734014494446,32.0001548394594
6,"Cloates","No Take",5,26.15,28.3843948678486,32.0001548394594
1,"Cloates","No Take",5,77.44,83.9278237697789,67.9943286792302
18,"Cloates","No Take",1,38.38,41.8047618740104,43.5084872126371
15,"Cloates","No Take",1,57.7,62.8586411972061,63.9074263111202
15,"Cloates","No Take",2,56.61,61.3586741841235,63.9074263111202
21,"Cloates","No Take",1,72.15,78.5987142240981,73.9114512616147
21,"Cloates","No Take",3,70.38,76.3862692990732,73.9114512616147
21,"Cloates","No Take",4,34.21,37.1245828010026,73.9114512616147
8,"Cloates","No Take",1,41.8,45.5126100497914,52.37953038128
8,"Cloates","No Take",2,55.11,59.8915176828382,52.37953038128
8,"Cloates","No Take",3,52.56,56.9183976413707,52.37953038128
8,"Cloates","No Take",4,41.64,45.1960038017051,52.37953038128
8,"Cloates","No Take",5,50.22,54.3791227306945,52.37953038128
5,"Cloates","No Take",1,65.64,71.4531521002203,85.553897744914
5,"Cloates","No Take",2,67.75,73.3837530557291,85.553897744914
5,"Cloates","No Take",3,80.61,87.4322418933622,85.553897744914
5,"Cloates","No Take",4,89.34,97.1071548507471,85.553897744914
5,"Cloates","No Take",5,90.84,98.3931868245114,85.553897744914
24,"Cloates","No Take",1,75.31,82.0371718988889,130.096447232259
24,"Cloates","No Take",2,110.88,120.448783897467,130.096447232259
24,"Cloates","No Take",3,148.65,161.108971297757,130.096447232259
24,"Cloates","No Take",4,138.22,150.022292769388,130.096447232259
24,"Cloates","No Take",5,126.27,136.865016297796,130.096447232259
12,"Cloates","No Take",1,26.31,28.6538443762467,42.1981368271897
12,"Cloates","No Take",2,50.49,54.7005870763478,42.1981368271897
12,"Cloates","No Take",3,47.4,51.39733649188,42.1981368271897
12,"Cloates","No Take",4,49.17,53.4494662409312,42.1981368271897
12,"Cloates","No Take",5,21.02,22.7894499505428,42.1981368271897
21,"Cloates","No Take",1,86.68,94.4252679277643,73.9114512616147
21,"Cloates","No Take",2,101.38,109.989312616114,73.9114512616147
21,"Cloates","No Take",3,77.06,83.557266526371,73.9114512616147
21,"Cloates","No Take",4,58.66,63.6120906676446,73.9114512616147
21,"Cloates","No Take",5,39.82,43.1614700733692,73.9114512616147
23,"Cloates","No Take",1,69.09,75.2712038153378,88.2634991661888
23,"Cloates","No Take",2,52.44,56.8390069217614,88.2634991661888
23,"Cloates","No Take",3,78.79,85.6762249830214,88.2634991661888
23,"Cloates","No Take",4,120.12,130.636151165791,88.2634991661888
23,"Cloates","No Take",5,85.75,92.8949089450324,88.2634991661888
