"id","Location","Status","Measure","length","LineLength","MeanLength"
13,"Cloates","No Take",1,13.49,14.6711758078474,22.7094996863566
13,"Cloates","No Take",2,19.89,21.6146397774915,22.7094996863566
13,"Cloates","No Take",3,31.28,33.879185527289,22.7094996863566
13,"Cloates","No Take",4,25.06,27.2792404323531,22.7094996863566
13,"Cloates","No Take",5,14.87,16.1032568868019,22.7094996863566
1,"Cloates","No Take",1,30.84,33.5910935383429,43.879466163412
1,"Cloates","No Take",2,43.55,47.3128892489785,43.879466163412
1,"Cloates","No Take",3,55.37,60.0022802715823,43.879466163412
1,"Cloates","No Take",4,38.42,41.7760950855729,43.879466163412
2,"Cloates","No Take",1,43.58,47.4585905848158,41.4898404990546
2,"Cloates","No Take",2,31.98,34.6566057484709,41.4898404990546
2,"Cloates","No Take",3,37.21,40.4297581038002,41.4898404990546
2,"Cloates","No Take",4,44.39,48.2224979950375,41.4898404990546
3,"Cloates","No Take",1,19.89,21.6637067553035,31.3646999676186
3,"Cloates","No Take",2,27.22,29.5080507937344,31.3646999676186
3,"Cloates","No Take",3,36.55,39.6505225351761,31.3646999676186
3,"Cloates","No Take",4,36.35,39.4984278183041,31.3646999676186
3,"Cloates","No Take",5,24.45,26.5027919355748,31.3646999676186
18,"Cloates","No Take",2,35.9,38.9141297583015,39.8748179322372
18,"Cloates","No Take",3,39.31,42.6675642860791,39.8748179322372
18,"Cloates","No Take",4,35.7,38.7549802725406,39.8748179322372
18,"Cloates","No Take",5,35.58,38.6021899672061,39.8748179322372
15,"Cloates","No Take",3,49.91,54.1085061580391,62.3363619602234
15,"Cloates","No Take",4,55.62,60.3986515884614,62.3363619602234
15,"Cloates","No Take",5,62.73,68.0132836593604,62.3363619602234
19,"Cloates","No Take",1,46.82,51.0057945364384,44.7759580865194
19,"Cloates","No Take",2,40.41,43.831677659716,44.7759580865194
19,"Cloates","No Take",3,40.24,43.6563554853991,44.7759580865194
19,"Cloates","No Take",4,38.31,41.660466698392,44.7759580865194
19,"Cloates","No Take",5,40.36,43.7254960526516,44.7759580865194
21,"Cloates","No Take",5,48.3,52.4093619939953,54.572534330692
16,"Cloates","No Take",1,55.28,60.2190652871164,36.6523101462453
16,"Cloates","No Take",2,22.43,24.3236183787565,36.6523101462453
16,"Cloates","No Take",3,29.41,31.9006284080788,36.6523101462453
16,"Cloates","No Take",4,21.39,23.2064975628377,36.6523101462453
16,"Cloates","No Take",5,40.23,43.6117410944372,36.6523101462453
7,"Cloates","No Take",1,44.48,48.4356383946718,67.9139043862266
7,"Cloates","No Take",2,67.93,73.5726664847835,67.9139043862266
7,"Cloates","No Take",3,71.99,78.0300212154289,67.9139043862266
4,"Cloates","No Take",4,56.83,61.6376704099425,61.6376704099425
7,"Cloates","No Take",5,66.14,71.6172914500222,67.9139043862266
6,"Cloates","No Take",1,27.66,30.1209249096274,33.9129935791402
6,"Cloates","No Take",2,43.26,46.8509905989344,33.9129935791402
6,"Cloates","No Take",3,30.95,33.677364910544,33.9129935791402
6,"Cloates","No Take",4,26.59,28.8853738048514,33.9129935791402
6,"Cloates","No Take",5,27.67,30.0303136717437,33.9129935791402
1,"Cloates","No Take",5,33.88,36.7149726725835,43.879466163412
2,"Cloates","No Take",5,33.83,36.6817500631483,41.4898404990546
18,"Cloates","No Take",1,37.12,40.4352253770587,39.8748179322372
15,"Cloates","No Take",1,59.71,65.0508879761239,62.3363619602234
15,"Cloates","No Take",2,59.15,64.1104804191324,62.3363619602234
21,"Cloates","No Take",1,76.59,83.4308998475285,54.572534330692
21,"Cloates","No Take",3,84.4,91.6029734750212,54.572534330692
21,"Cloates","No Take",4,43.12,46.7976663038289,54.572534330692
9,"Cloates","No Take",1,18.77,20.438915323165,29.2168673167547
9,"Cloates","No Take",2,33.35,36.2159863002466,29.2168673167547
9,"Cloates","No Take",3,37.77,40.915842416552,29.2168673167547
9,"Cloates","No Take",4,22.52,24.4627434764366,29.2168673167547
9,"Cloates","No Take",5,22.21,24.0508490673735,29.2168673167547
8,"Cloates","No Take",1,39.32,42.8109119965177,49.2215588462237
8,"Cloates","No Take",2,58.74,63.8280212511821,49.2215588462237
8,"Cloates","No Take",3,42.48,46.0043716933533,49.2215588462237
8,"Cloates","No Take",4,42.94,46.6172523134314,49.2215588462237
8,"Cloates","No Take",5,43.26,46.8472369766338,49.2215588462237
5,"Cloates","No Take",1,34.36,37.4067860108645,31.0485589033698
5,"Cloates","No Take",2,29.46,31.9141252982616,31.0485589033698
5,"Cloates","No Take",3,29.1,31.5641823316464,31.0485589033698
5,"Cloates","No Take",4,27.78,30.1945866595064,31.0485589033698
5,"Cloates","No Take",5,22.31,24.1631142165702,31.0485589033698
12,"Cloates","No Take",1,34.99,38.1034729965696,42.713522457076
12,"Cloates","No Take",2,43.51,47.1441471744436,42.713522457076
12,"Cloates","No Take",3,48.01,52.0489095882053,42.713522457076
12,"Cloates","No Take",4,41.04,44.6098375411116,42.713522457076
12,"Cloates","No Take",5,29.21,31.6612449850499,42.713522457076
22,"Cloates","No Take",1,40.05,43.6292686142369,41.7824998568056
22,"Cloates","No Take",2,42.36,45.9337129693947,41.7824998568056
22,"Cloates","No Take",3,34.71,37.6929103102933,41.7824998568056
22,"Cloates","No Take",4,39.19,42.5935170234543,41.7824998568056
22,"Cloates","No Take",5,36.03,39.0630903666489,41.7824998568056
21,"Cloates","No Take",1,39,42.4904854879097,54.572534330692
21,"Cloates","No Take",2,37.11,40.2662985197894,54.572534330692
21,"Cloates","No Take",3,51.01,55.3137413885981,54.572534330692
21,"Cloates","No Take",4,38.53,41.786239635565,54.572534330692
21,"Cloates","No Take",5,34.17,37.055142323992,54.572534330692
23,"Cloates","No Take",1,42.32,46.1040643581381,43.3084015579967
23,"Cloates","No Take",2,36.04,39.0620733677457,43.3084015579967
23,"Cloates","No Take",3,50.07,54.4487228723044,43.3084015579967
23,"Cloates","No Take",4,43.54,47.363012226023,43.3084015579967
23,"Cloates","No Take",5,27.29,29.5641349657721,43.3084015579967
