"id","Location","Status","Measure","length","LineLength","MeanLength"
13,"Cloates","No Take",1,9.51,10.333816206936,33.3878509993064
13,"Cloates","No Take",2,19.79,21.5064818271403,33.3878509993064
13,"Cloates","No Take",3,53.02,57.4294477148421,33.3878509993064
13,"Cloates","No Take",4,51.16,55.6906506677428,33.3878509993064
13,"Cloates","No Take",5,20.3,21.9788585798706,33.3878509993064
1,"Cloates","No Take",1,89.68,97.6687168466054,77.8465404829191
1,"Cloates","No Take",2,73.9,80.2774394728372,77.8465404829191
1,"Cloates","No Take",3,44.64,48.3699398823743,77.8465404829191
1,"Cloates","No Take",4,81.33,88.4370575561089,77.8465404829191
21,"Cloates","No Take",5,63.31,68.7041771039019,63.2595818269404
7,"Cloates","No Take",1,54.97,59.8674944470157,66.5622206458928
7,"Cloates","No Take",2,81.91,88.7157864475333,66.5622206458928
7,"Cloates","No Take",3,69.85,75.7099279254765,66.5622206458928
4,"Cloates","No Take",4,37.77,40.956039193954,40.956039193954
7,"Cloates","No Take",5,38.75,41.9556737635458,66.5622206458928
6,"Cloates","No Take",1,23.93,26.0585809952407,32.8718053147131
6,"Cloates","No Take",2,55.36,59.949109158846,32.8718053147131
6,"Cloates","No Take",3,25.28,27.4978227486165,32.8718053147131
6,"Cloates","No Take",4,22.17,24.0810420814908,32.8718053147131
6,"Cloates","No Take",5,24.67,26.7724715893713,32.8718053147131
1,"Cloates","No Take",5,68.73,74.4795486566699,77.8465404829191
21,"Cloates","No Take",1,67.08,73.0803010107651,63.2595818269404
21,"Cloates","No Take",3,71.75,77.8784178551734,63.2595818269404
21,"Cloates","No Take",4,49.1,53.288123908154,63.2595818269404
9,"Cloates","No Take",1,68.92,75.0567322066923,67.0637572867775
9,"Cloates","No Take",2,63.13,68.5499048294144,67.0637572867775
9,"Cloates","No Take",3,89.85,97.345704122534,67.0637572867775
9,"Cloates","No Take",4,37.87,41.1350806835156,67.0637572867775
9,"Cloates","No Take",5,49.15,53.2313645917312,67.0637572867775
8,"Cloates","No Take",1,63.8,69.467661902402,59.0065007942189
8,"Cloates","No Take",2,62.22,67.6134013828083,59.0065007942189
8,"Cloates","No Take",3,51.49,55.7609100743295,59.0065007942189
8,"Cloates","No Take",4,53.57,58.1523298465991,59.0065007942189
8,"Cloates","No Take",5,40.67,44.0382007649553,59.0065007942189
5,"Cloates","No Take",1,59.16,64.3975475132457,60.0535692414799
5,"Cloates","No Take",2,55.05,59.6191176296775,60.0535692414799
5,"Cloates","No Take",3,53.43,57.9500618472235,60.0535692414799
5,"Cloates","No Take",4,62.63,68.0693947254949,60.0535692414799
5,"Cloates","No Take",5,46.38,50.2317244917577,60.0535692414799
24,"Cloates","No Take",1,55.27,60.2105315339661,103.250698403858
24,"Cloates","No Take",2,120.31,130.697601867738,103.250698403858
24,"Cloates","No Take",3,136.45,147.884126877388,103.250698403858
24,"Cloates","No Take",4,108.42,117.674107008817,103.250698403858
24,"Cloates","No Take",5,55.16,59.7871247313815,103.250698403858
12,"Cloates","No Take",1,43.06,46.8920790473163,45.2090183063848
12,"Cloates","No Take",2,52.42,56.7860964470057,45.2090183063848
12,"Cloates","No Take",3,42.36,45.926793506556,45.2090183063848
12,"Cloates","No Take",4,48.23,52.4228335299511,45.2090183063848
12,"Cloates","No Take",5,22.15,24.0172890010948,45.2090183063848
23,"Cloates","No Take",1,64.59,70.3648000594513,68.2784910863603
23,"Cloates","No Take",2,59.55,64.5445247827834,68.2784910863603
23,"Cloates","No Take",3,59.94,65.1774294569974,68.2784910863603
23,"Cloates","No Take",4,61.94,67.3807631516105,68.2784910863603
23,"Cloates","No Take",5,68.24,73.9249379809588,68.2784910863603
21,"Cloates","No Take",1,65.01,70.8236254575215,63.2595818269404
21,"Cloates","No take",2,72.56,78.724083775103,63.2595818269404
21,"Cloates","No Take",3,61.82,67.0325988828401,63.2595818269404
21,"Cloates","No Take",4,39.88,43.2509646471666,63.2595818269404
21,"Cloates","No Take",5,33.71,36.5539438018382,63.2595818269404
