"id","Location","Status","Measure","length","LineLength","MeanLength"
13,"Cloates","No Take",1,10.73,11.6644058592473,28.7820546611632
13,"Cloates","No Take",2,24.53,26.6613630449556,28.7820546611632
13,"Cloates","No Take",3,42.52,46.0532636034488,28.7820546611632
13,"Cloates","No Take",4,46.59,50.7164988336663,28.7820546611632
13,"Cloates","No Take",5,8.14,8.81474196449804,28.7820546611632
1,"Cloates","No Take",1,30.39,33.0976772369737,43.7717501166126
1,"Cloates","No Take",2,43.55,47.3128892489785,43.7717501166126
1,"Cloates","No Take",3,44.71,48.4452624285976,43.7717501166126
1,"Cloates","No Take",4,47.18,51.3075193962646,43.7717501166126
2,"Cloates","No Take",1,35.05,38.1745360940869,43.7099670552463
2,"Cloates","No Take",2,41.08,44.5115933318812,43.7099670552463
2,"Cloates","No Take",3,42.47,46.1494479379659,43.7099670552463
2,"Cloates","No Take",4,56.85,61.7644063776016,43.7099670552463
18,"Cloates","No Take",2,47.86,51.8784146057498,45.7660126763786
18,"Cloates","No Take",3,46.64,50.6252621130441,45.7660126763786
18,"Cloates","No Take",4,45.09,48.9465696739533,45.7660126763786
18,"Cloates","No Take",5,34.58,37.5169566180046,45.7660126763786
15,"Cloates","No Take",3,46.11,49.9834336096961,45.3770489133843
15,"Cloates","No Take",4,29.98,32.5535713800794,45.3770489133843
15,"Cloates","No Take",5,35.97,38.990942495984,45.3770489133843
19,"Cloates","No Take",1,51.23,55.8114543820614,40.327182720644
19,"Cloates","No Take",2,32.34,35.083789243686,40.327182720644
19,"Cloates","No Take",3,36.14,39.21197311652,40.327182720644
19,"Cloates","No Take",4,26.3,28.5978867652816,40.327182720644
19,"Cloates","No Take",5,39.63,42.9308100956711,40.327182720644
7,"Cloates","No Take",1,36.18,39.4031866309095,64.2121524308159
7,"Cloates","No Take",2,69.96,75.7725699296223,64.2121524308159
7,"Cloates","No Take",3,87.68,95.0393935473795,64.2121524308159
4,"Cloates","No Take",4,52.43,56.8659849456451,56.8659849456451
7,"Cloates","No Take",5,43.07,46.6334596153522,64.2121524308159
6,"Cloates","No Take",1,18.46,20.0979230095547,24.2693884350043
6,"Cloates","No Take",2,32.74,35.4491244209747,24.2693884350043
6,"Cloates","No Take",3,26.58,28.9184199799512,24.2693884350043
6,"Cloates","No Take",4,20.05,21.7750856691974,24.2693884350043
6,"Cloates","No Take",5,13.92,15.1063890953435,24.2693884350043
1,"Cloates","No Take",5,35.71,38.6954022722484,43.7717501166126
2,"Cloates","No Take",5,25.78,27.9498515346962,43.7099670552463
18,"Cloates","No Take",1,36.59,39.8628603711413,45.7660126763786
15,"Cloates","No Take",1,52.17,56.8366126629228,45.3770489133843
15,"Cloates","No Take",2,44.76,48.5206844182393,45.3770489133843
9,"Cloates","No Take",1,21.4,23.3022666092524,38.0722887459045
9,"Cloates","No Take",2,34.51,37.4854473606682,38.0722887459045
9,"Cloates","No Take",3,54.95,59.5276860814159,38.0722887459045
9,"Cloates","No Take",4,39.38,42.7718233864306,38.0722887459045
9,"Cloates","No Take",5,25.18,27.2742202917555,38.0722887459045
8,"Cloates","No Take",1,32.26,35.121079305961,42.6515000041421
8,"Cloates","No Take",2,40.69,44.2176057329012,42.6515000041421
8,"Cloates","No Take",3,47.06,50.9581674689891,42.6515000041421
8,"Cloates","No Take",4,42.94,46.6172523134314,42.6515000041421
8,"Cloates","No Take",5,33.56,36.3433951994275,42.6515000041421
5,"Cloates","No Take",1,30.21,32.8918479026821,43.3217636372719
5,"Cloates","No Take",2,35.52,38.472881073019,43.3217636372719
5,"Cloates","No Take",3,47.16,51.1434386240951,43.3217636372719
5,"Cloates","No Take",4,46.37,50.4116005765458,43.3217636372719
5,"Cloates","No Take",5,40.34,43.6890500100177,43.3217636372719
22,"Cloates","No Take",1,75.54,82.2945406344838,54.002139836803
22,"Cloates","No Take",2,56.19,60.9180349325182,54.002139836803
22,"Cloates","No Take",3,36.64,39.7814267446867,54.002139836803
22,"Cloates","No Take",4,33.8,36.7353504648591,54.002139836803
22,"Cloates","No Take",5,46.38,50.2813464074671,54.002139836803
23,"Cloates","No Take",1,40.52,44.1423059655688,40.7299505511518
23,"Cloates","No Take",2,24.62,26.6890330508099,40.7299505511518
23,"Cloates","No Take",3,35.68,38.7917143540837,40.7299505511518
23,"Cloates","No Take",4,52.18,56.7558897355368,40.7299505511518
23,"Cloates","No Take",5,34.4,37.2708096497597,40.7299505511518
