"id","Location","Status","Measure","length","LineLength","MeanLength"
13,"Cloates","No Take",1,23.261,25.2869977726732,32.8045407953088
13,"Cloates","No Take",2,20.866,22.6790507999744,32.8045407953088
13,"Cloates","No Take",3,36.475,39.5089397410911,32.8045407953088
13,"Cloates","No Take",4,41.566,45.2441386810076,32.8045407953088
13,"Cloates","No Take",5,28.911,31.3035769817977,32.8045407953088
1,"Cloates","No Take",1,44.395,48.348501099385,47.7586505730055
1,"Cloates","No Take",2,51.105,55.5197802074831,47.7586505730055
1,"Cloates","No Take",3,42.722,46.293832150729,47.7586505730055
1,"Cloates","No Take",4,44.009,47.8540163541107,47.7586505730055
18,"Cloates","No Take",2,34.831,37.7569793670305,37.9005913596486
18,"Cloates","No Take",3,37.486,40.6923009327092,37.9005913596486
18,"Cloates","No Take",4,34.119,37.0379046011854,37.9005913596486
18,"Cloates","No Take",5,34.265,37.1784306157108,37.9005913596486
15,"Cloates","No Take",3,54.967,59.5858727301157,58.1364464472992
15,"Cloates","No Take",4,57.761,62.72212076974,58.1364464472992
15,"Cloates","No Take",5,53.845,58.373035304078,58.1364464472992
19,"Cloates","No Take",1,50.552,55.0696407974759,49.1421768609807
19,"Cloates","No Take",2,51.282,55.6221155556727,49.1421768609807
19,"Cloates","No Take",3,50.349,54.6271981830169,49.1421768609807
19,"Cloates","No Take",4,33.951,36.9193877179605,49.1421768609807
19,"Cloates","No Take",5,40.13,43.4725420507772,49.1421768609807
21,"Cloates","No Take",5,58.6,63.5903572523459,56.8437173131497
16,"Cloates","No Take",1,62.618,68.2147910293541,59.1737520682454
16,"Cloates","No Take",2,45.229,49.0306469963083,59.1737520682454
16,"Cloates","No Take",3,67.889,73.6311139389943,59.1737520682454
16,"Cloates","No Take",4,47.629,51.6786407898731,59.1737520682454
16,"Cloates","No Take",5,49.178,53.3135675866974,59.1737520682454
7,"Cloates","No Take",1,58.159,63.3383542358147,73.7538357808066
7,"Cloates","No Take",2,67.22,72.8055758189636,73.7538357808066
7,"Cloates","No Take",3,69.614,75.4554162988997,73.7538357808066
4,"Cloates","No Take",4,56.732,61.5258812731362,61.5258812731362
7,"Cloates","No Take",5,77.035,83.4159967695484,73.7538357808066
6,"Cloates","No Take",1,40.225,43.8027396306607,39.9005443651544
6,"Cloates","No Take",2,55.277,59.860625335902,39.9005443651544
6,"Cloates","No Take",3,27.174,29.5626345873422,39.9005443651544
6,"Cloates","No Take",4,21.839,23.7226803047492,39.9005443651544
6,"Cloates","No Take",5,39.203,42.5540419671179,39.9005443651544
1,"Cloates","No Take",5,37.626,40.7771230533195,47.7586505730055
18,"Cloates","No Take",1,33.816,36.8373412816072,37.9005913596486
15,"Cloates","No Take",1,44.653,48.6425292484387,58.1364464472992
15,"Cloates","No Take",2,56.607,61.3586741841235,58.1364464472992
21,"Cloates","No Take",1,68.378,74.489039795663,56.8437173131497
21,"Cloates","No Take",3,79.059,85.8076111643875,56.8437173131497
21,"Cloates","No Take",4,44.471,48.2659128335805,56.8437173131497
8,"Cloates","No Take",1,54.141,58.9476534603759,50.0485431157609
8,"Cloates","No Take",2,54.949,59.7131119782036,50.0485431157609
8,"Cloates","No Take",3,42.181,45.6808641038679,50.0485431157609
8,"Cloates","No Take",4,41.638,45.1960038017051,50.0485431157609
8,"Cloates","No Take",5,37.591,40.7050822346522,50.0485431157609
5,"Cloates","No Take",1,46.641,50.7745349353746,56.5891657791435
