"id","Location","Status","Measure","length","LineLength","MeanLength"
1,"Cloates","No Take",1,36.7,39.9697218358664,49.7282081717248
1,"Cloates","No Take",2,54.46,59.1622535141577,49.7282081717248
1,"Cloates","No Take",3,60.53,65.5944614136544,49.7282081717248
1,"Cloates","No Take",4,41.08,44.6726161768718,49.7282081717248
2,"Cloates","No Take",1,23.9,26.0240579136583,32.1392772440388
2,"Cloates","No Take",2,28.43,30.806562794919,32.1392772440388
2,"Cloates","No Take",3,34.65,37.6464904029181,32.1392772440388
2,"Cloates","No Take",4,37.67,40.9271896173847,32.1392772440388
3,"Cloates","No Take",1,18.47,20.1164722899044,22.4762787112534
3,"Cloates","No Take",2,25.11,27.2254133192252,22.4762787112534
3,"Cloates","No Take",3,22.48,24.3813806055427,22.4762787112534
3,"Cloates","No Take",4,20.3,22.0521962233384,22.4762787112534
3,"Cloates","No Take",5,17.17,18.6059311182564,22.4762787112534
18,"Cloates","No Take",2,45.01,48.7993808268693,46.7479192491729
18,"Cloates","No Take",3,47.72,51.8066553038887,46.7479192491729
18,"Cloates","No Take",4,40.69,44.1729818158905,46.7479192491729
18,"Cloates","No Take",5,43.08,46.7400368265935,46.7479192491729
15,"Cloates","No Take",3,50.62,54.873280966316,56.32153976832
15,"Cloates","No Take",4,52.31,56.8107713262026,56.32153976832
15,"Cloates","No Take",5,60.62,65.713855610717,56.32153976832
19,"Cloates","No Take",1,61.92,67.4513095666569,53.204300355564
19,"Cloates","No Take",2,46.94,50.9152970665414,53.204300355564
19,"Cloates","No Take",3,45.05,48.877151945585,53.204300355564
19,"Cloates","No Take",4,38.35,41.7005520137414,53.204300355564
19,"Cloates","No Take",5,52.69,57.0771911852953,53.204300355564
21,"Cloates","No Take",5,56.38,61.1850075171825,80.3708898274954
16,"Cloates","No Take",1,63.34,69.0056217327921,62.0791642093402
16,"Cloates","No Take",2,53.55,58.0578927298347,62.0791642093402
16,"Cloates","No Take",3,57.11,61.9399684651275,62.0791642093402
16,"Cloates","No Take",4,57.73,62.6406241673343,62.0791642093402
16,"Cloates","No Take",5,54.19,58.7517139516126,62.0791642093402
7,"Cloates","No Take",1,30.73,33.4642662520445,65.934297518302
7,"Cloates","No Take",2,89.04,96.4403396757151,65.934297518302
7,"Cloates","No Take",3,91.34,99.0099675326395,65.934297518302
4,"Cloates","No Take",4,45.45,49.2931342163519,49.2931342163519
7,"Cloates","No Take",5,32.16,34.8226166128091,65.934297518302
6,"Cloates","No Take",1,18.08,19.6934071932484,21.4953048056227
6,"Cloates","No Take",2,36.24,39.2438387638424,21.4953048056227
6,"Cloates","No Take",3,14.01,15.2446436638813,21.4953048056227
6,"Cloates","No Take",4,14.62,15.8832286842776,21.4953048056227
6,"Cloates","No Take",5,16.04,17.4114057228639,21.4953048056227
1,"Cloates","No Take",5,36.21,39.2419879180736,49.7282081717248
2,"Cloates","No Take",5,23.33,25.292085491314,32.1392772440388
18,"Cloates","No Take",1,38.76,42.2205414726224,46.7479192491729
15,"Cloates","No Take",1,50.32,54.81350046293,56.32153976832
15,"Cloates","No Take",2,45.57,49.3962904754343,56.32153976832
21,"Cloates","No Take",1,91.85,100.057278465706,80.3708898274954
21,"Cloates","No Take",3,101.88,110.583709342135,80.3708898274954
21,"Cloates","No Take",4,45.75,49.6575639849578,80.3708898274954
8,"Cloates","No Take",1,27.53,29.9772766562095,49.4423058631506
8,"Cloates","No Take",2,59.12,64.247958803748,49.4423058631506
8,"Cloates","No Take",3,62.46,67.647280575318,49.4423058631506
8,"Cloates","No Take",4,42.97,46.6405828496284,49.4423058631506
8,"Cloates","No Take",5,35.74,38.6984304308489,49.4423058631506
5,"Cloates","No Take",1,32.25,35.1080084597286,46.232176019287
5,"Cloates","No Take",2,44.53,48.233157164931,46.232176019287
5,"Cloates","No Take",3,50,54.2295950644457,46.232176019287
5,"Cloates","No Take",4,48.02,52.1941864586609,46.232176019287
5,"Cloates","No Take",5,38.22,41.3959329486688,46.232176019287
24,"Cloates","No Take",1,63.73,69.4315940867674,109.954011175386
24,"Cloates","No Take",2,76.03,82.6017620913017,109.954011175386
24,"Cloates","No Take",3,145.15,157.311337350402,109.954011175386
24,"Cloates","No Take",4,124.67,135.329529311395,109.954011175386
24,"Cloates","No Take",5,96.95,105.095833037066,109.954011175386
12,"Cloates","N",1,38.12,41.5144030814331,69.5516056509386
12,"Cloates","No Take",2,72.95,79.0296334861425,69.5516056509386
12,"Cloates","No Take",3,90.71,98.3529036378909,69.5516056509386
12,"Cloates","No Take",4,71.81,78.0600486849447,69.5516056509386
12,"Cloates","No Take",5,46.86,50.8010393642819,69.5516056509386
22,"Cloates","No Take",1,58.75,64.0034971858207,77.4157999665052
22,"Cloates","No Take",2,60.47,65.5746384925888,77.4157999665052
22,"Cloates","No Take",3,53.72,58.3300740538112,77.4157999665052
22,"Cloates","No Take",4,27.65,30.0466326178213,77.4157999665052
22,"Cloates","No Take",5,35.72,38.7205594665129,77.4157999665052
22,"Cloates","No Take",1,51.79,56.4218445556551,77.4157999665052
22,"Cloates","No Take",2,71.99,78.0312043556127,77.4157999665052
22,"Cloates","No Take",3,92.08,100.126408991123,77.4157999665052
22,"Cloates","No Take",4,142.63,155.121448926644,77.4157999665052
22,"Cloates","No Take",5,117.96,127.781691019463,77.4157999665052
