"id","Location","Status","Measure","length","LineLength","MeanLength"
13,"Cloates","No Take",1,13.24,14.394143033291,21.3224554873402
13,"Cloates","No Take",2,20.29,22.0568003376294,21.3224554873402
13,"Cloates","No Take",3,30.81,33.3689671021732,21.3224554873402
13,"Cloates","No Take",4,24.48,26.6488462775534,21.3224554873402
13,"Cloates","No Take",5,9.37,10.1435206860541,21.3224554873402
1,"Cloates","No Take",1,57.83,62.9774417634613,70.2808025130204
1,"Cloates","No Take",2,56,60.8430213091547,70.2808025130204
1,"Cloates","No Take",3,59.68,64.6712905167484,70.2808025130204
1,"Cloates","No Take",4,70.73,76.9136078170809,70.2808025130204
19,"Cloates","No Take",1,97.57,106.292521862521,67.0970652855856
19,"Cloates","No Take",2,62.49,67.7782750129252,67.0970652855856
19,"Cloates","No Take",3,43.05,46.7083799189525,67.0970652855856
19,"Cloates","No Take",4,45.23,49.1860642442938,67.0970652855856
19,"Cloates","No Take",5,60.48,65.5200853892356,67.0970652855856
7,"Cloates","No Take",1,31.7,34.5214121192967,38.2666542049645
7,"Cloates","No Take",2,33.72,36.52712420923,38.2666542049645
7,"Cloates","No Take",3,55.45,60.103746990714,38.2666542049645
4,"Cloates","No Take",4,16.45,17.8359534639077,17.8359534639077
7,"Cloates","No Take",5,20.24,21.9143335006174,38.2666542049645
6,"Cloates","No Take",1,21.59,23.515281928459,26.3129270755739
6,"Cloates","No Take",2,40.13,43.4619438979125,26.3129270755739
6,"Cloates","No Take",3,22.59,24.5756457622265,26.3129270755739
6,"Cloates","No Take",4,14.15,15.3674406821979,26.3129270755739
6,"Cloates","No Take",5,22.71,24.6443231070737,26.3129270755739
1,"Cloates","No Take",5,79.36,85.9986511586567,70.2808025130204
9,"Cloates","No Take",1,38.71,42.1592338819251,55.3890783809248
9,"Cloates","No Take",2,56.78,61.6542585097311,55.3890783809248
9,"Cloates","No Take",3,74.7,80.9294488903221,55.3890783809248
9,"Cloates","No Take",4,45.58,49.5123831703444,55.3890783809248
9,"Cloates","No Take",5,39.42,42.6900674523012,55.3890783809248
8,"Cloates","No Take",1,50.61,55.1039344153256,56.8396185514594
8,"Cloates","No Take",2,57.62,62.6133097146947,56.8396185514594
8,"Cloates","No Take",3,56.72,61.4255491768269,56.8396185514594
8,"Cloates","No Take",4,46.18,50.1319473825078,56.8396185514594
8,"Cloates","No Take",5,50.72,54.923352067942,56.8396185514594
5,"Cloates","No Take",1,103.79,112.98133041942,98.7822763841489
5,"Cloates","No Take",2,74.93,81.1610943009232,98.7822763841489
5,"Cloates","No Take",3,96.7,104.89481900336,98.7822763841489
5,"Cloates","No Take",4,96.09,104.436583075705,98.7822763841489
5,"Cloates","No Take",5,83.5,90.437555121337,98.7822763841489
24,"Cloates","No Take",1,63.03,68.6688643389753,108.200923726056
24,"Cloates","No Take",2,83.44,90.6431837720964,108.200923726056
24,"Cloates","No Take",3,144.23,156.322065420068,108.200923726056
24,"Cloates","No Take",4,133.66,145.075993232802,108.200923726056
24,"Cloates","No Take",5,74.07,80.2945118663365,108.200923726056
12,"Cloates","No Take",1,38.13,41.5246091371241,58.0058166811901
12,"Cloates","No Take",2,52.6,56.989079164725,58.0058166811901
12,"Cloates","No Take",3,62.84,68.1219206790068,58.0058166811901
12,"Cloates","No Take",4,65.84,71.5681700540301,58.0058166811901
12,"Cloates","No Take",5,47.81,51.8253043710645,58.0058166811901
